'2017-09-06 04:38:47'
'2017-09-06 04:38:52'
'2017-09-06 04:38:52'
'2017-09-06 04:38:55'
'2017-09-06 04:38:57'
'2017-09-06 04:38:56'
'2017-09-06 04:39:00'
'2017-09-06 04:38:56'
'2017-09-06 04:39:00'
'2017-09-06 04:38:46'
'2017-09-06 04:38:57'
'2017-09-06 04:38:46'
'2017-09-06 04:38:45'
'2017-09-06 04:39:00'
'2017-09-06 04:38:47'
'2017-09-06 04:38:57'
'2017-09-06 04:38:55'
'2017-09-06 04:38:54'
'2017-09-06 04:38:47'
'2017-09-06 04:38:51'
'2017-09-06 04:38:55'
'2017-09-06 04:38:49'
'2017-09-06 04:38:46'
'2017-09-06 04:38:56'
'2017-09-06 04:38:51'
'2017-09-06 04:38:47'
'2017-09-06 04:38:59'
'2017-09-06 04:38:54'
'2017-09-06 04:38:59'
'2017-09-06 04:38:59'
'2017-09-06 04:38:53'
'2017-09-06 04:38:47'
'2017-09-06 04:38:58'
'2017-09-06 04:38:58'
'2017-09-06 04:38:45'
'2017-09-06 04:38:58'
'2017-09-06 04:38:52'
'2017-09-06 04:38:48'
'2017-09-06 04:39:00'
'2017-09-06 04:38:57'
'2017-09-06 04:38:48'
'2017-09-06 04:38:47'
'2017-09-06 04:39:01'
'2017-09-06 04:38:57'
'2017-09-06 04:38:54'
'2017-09-06 04:38:48'
'2017-09-06 04:38:55'
'2017-09-06 04:38:46'
'2017-09-06 04:39:00'
'2017-09-06 04:39:00'
'2017-09-06 04:38:47'
'2017-09-06 04:38:52'
'2017-09-06 04:38:57'
'2017-09-06 04:38:46'
'2017-09-06 04:38:50'
'2017-09-06 04:38:48'
'2017-09-06 04:39:01'
'2017-09-06 04:38:47'
'2017-09-06 04:39:00'
'2017-09-06 04:38:52'
'2017-09-06 04:38:46'
'2017-09-06 04:38:53'
